id,Y,X,altitude,name,top,bottom,xx,tt,zz
Z1,39488088.44,3853284.63,37.2,9煤,602.75,606.63,二叠系,下二叠统,山西组
Z13,39480564.63,3851919.48,38.98,9煤,554.99,557.39,二叠系,下二叠统,山西组
Z2,39481103.75,3851767.21,38.66,9煤,509.09,512.26,二叠系,下二叠统,山西组
Z3,39487573.63,3853146.38,36.78,9煤,600.8,604.9,二叠系,下二叠统,山西组
Z32,39481631.88,3851810.89,37.82,9煤,530.26,532.33,,,
Z38,39480224.97,3851072.61,38.74,9煤,325.35,328.28,,,
Z4,39487483.9,3853585.4,37.33,9煤,710.43,714.35,二叠系,下二叠统,山西组
Z40,39479866.22,3850932.72,39.23,9煤,319.71,321.06,二叠系,下二叠统,山西组
Z41,39479652.31,3851640.54,38.92,9煤,544.21,548.79,,,
Z43,39479287.55,3850995.32,39.22,9煤,368.13,370.83,,,
Z44,39479184.14,3851362.04,38.68,9煤,477.62,480.67,,,
Z48,39478667.74,3851225.34,38.1,9煤,453.24,463.54,,,
Z52,39486757.05,3853900.1,37.27,9煤,851.85,854.2,二叠系,下二叠统,山西组
Z54,39484801.52,3853646.32,37.79,9煤,668.11,671.93,二叠系,下二叠统,山西组
Z56,39482686.05,3853381.6,38.56,9煤,863.19,864.72,,,
Z58,39488471.36,3853764.18,37.15,9煤,740.87,745.0,二叠系,下二叠统,山西组
Z60,39480269.95,3850921.64,39.33,9煤,307.54,311.44,,,
Z61,39487884.24,3854091.09,37.22,9煤,812.65,814.2,二叠系,下二叠统,山西组
Z69,39484500.95,3852948.51,37.97,9煤,589.83,593.78,二叠系,下二叠统,山西组
Z8,39486511.78,3852370.44,37.38,9煤,275.71,280.21,二叠系,下二叠统,山西组
Z9,39486446.43,3852690.36,37.68,9煤,440.75,445.0,二叠系,下二叠统,山西组
Z19,39480090.83,3851656.04,38.91,9煤,521.9,522.2,二叠系,下二叠统,山西组
Z63,39482008.59,3852082.86,37.76,9煤,608.14,608.5,,,
Z42,39479415.78,3850571.09,39.21,9煤,312.27,312.42,石炭系,上石炭统,太原组
Z34,39480895.0,3850804.04,38.71,9煤,320.59,320.86,石炭系,上石炭统,太原组
Z45,39479075.57,3851786.38,38.8,9煤,698.45,698.7,石炭系,上石炭系,太原组
Z47,39478797.66,3850686.92,39.17,9煤,311.92,312.17,,,
Z50,39478181.56,3851102.2,38.28,9煤,476.95,477.32,石炭系,上石炭统,太原组
Z53,39484939.3,3852715.0,36.92,9煤,612.5,612.8,石炭系,上石炭统,太原组
Z67,39483402.26,3852917.81,37.53,9煤,727.17,727.5,石炭系,上石炭统,太原组
Z55,39482941.04,3852434.81,38.13,9煤,709.35,709.55,石炭系,上石炭统,太原组
Z16,39483790.33,3853224.42,37.07,9煤,650.15,650.5,石炭系,上石炭统,太原组
Z20,39484473.89,3852586.33,37.87,9煤,526.0,526.2,石炭系,上石炭统,太原组
Z18,39484579.68,3852095.66,37.89,9煤,373.5,373.7,石炭系,上石炭统,太原组
Z12,39485594.02,3852217.16,36.6,9煤,450.85,451.2,二叠系,下二叠统,山西组
Z5,39487162.06,3852135.03,37.29,9煤,317.47,317.67,石炭系,上石炭统,太原组
Z14,39485524.95,3852578.63,37.31,9煤,485.5,485.7,石炭系,上石炭统,太原组
