X,Y,top, "ZLEVEL"
3854091.0900000003166, 39481707.029208987951, -950, "-950"
3854084.9912412026897, 39481697.6725628227, -950, "-950"
3854051.9651550929993, 39481645.965025134385, -950, "-950"
3854039.9812307697721, 39481626.865031681955, -950, "-950"
3854020.034193333704, 39481594.25748744607, -950, "-950"
3853988.8724615387619, 39481542.639557898045, -950, "-950"
3853988.8197519052774, 39481542.549949757755, -950, "-950"
3853958.9971484579146, 39481490.84241206944, -950, "-950"
3853937.7636923082173, 39481453.646229594946, -950, "-950"
3853929.6822104514576, 39481439.134874381125, -950, "-950"
3853901.3340925411321, 39481387.42733669281, -950, "-950"
3853886.6549230772071, 39481360.294750824571, -950, "-950"
3853873.6570900441147, 39481335.719799004495, -950, "-950"
3853846.6936003365554, 39481284.01226131618, -950, "-950"
3853835.5461538466625, 39481262.233528763056, -950, "-950"
3853820.5278837913647, 39481232.304723627865, -950, "-950"
3853795.0294965761714, 39481180.59718593955, -950, "-950"
3853784.4373846156523, 39481158.529058992863, -950, "-950"
3853770.4438853859901, 39481128.889648251235, -950, "-950"
3853746.7340378207155, 39481077.182110562921, -950, "-950"
3853733.3286153851077, 39481046.759646825492, -950, "-950"
3853724.0703804073855, 39481025.474572874606, -950, "-950"
3853702.8060153787956, 39480973.767035186291, -950, "-950"
3853682.7878517988138, 39480922.059497497976, -950, "-950"
3853682.2198461540975, 39480920.422268658876, -950, "-950"
3853665.0163436797448, 39480870.351959809661, -950, "-950"
3853649.2766907294281, 39480818.644422121346, -950, "-950"
3853636.0453788717277, 39480766.936884433031, -950, "-950"
3853631.1110769235529, 39480741.8528476879, -950, "-950"
3853625.942910509184, 39480715.229346744716, -950, "-950"
3853619.2492873673327, 39480663.521809056401, -950, "-950"
3853616.1011219909415, 39480611.814271368086, -950, "-950"
3853616.6074599907734, 39480560.106733679771, -950, "-950"
3853620.6925060651265, 39480508.399195991457, -950, "-950"
3853628.1140045886859, 39480456.691658303142, -950, "-950"
3853631.1110769235529, 39480441.93635109812, -950, "-950"
3853638.7415212518536, 39480404.984120614827, -950, "-950"
3853652.1196422567591, 39480353.276582926512, -950, "-950"
3853667.7077430821955, 39480301.569045238197, -950, "-950"
3853682.2198461540975, 39480258.499030552804, -950, "-950"
3853685.1737732519396, 39480249.861507549882, -950, "-950"
3853704.6222629393451, 39480198.153969861567, -950, "-950"
3853725.2153465528972, 39480146.446432173252, -950, "-950"
3853733.3286153851077, 39480127.129030697048, -950, "-950"
3853747.1634825579822, 39480094.738894484937, -950, "-950"
3853770.0947021357715, 39480043.031356796622, -950, "-950"
3853784.4373846156523, 39480011.597398005426, -950, "-950"
3853793.8572778352536, 39479991.323819108307, -950, "-950"
3853818.523865299765, 39479939.616281419992, -950, "-950"
3853835.5461538466625, 39479904.491233721375, -950, "-950"
3853843.7373211300001, 39479887.908743724227, -950, "-950"
3853869.7455197470263, 39479836.201206035912, -950, "-950"
3853886.6549230772071, 39479802.90316157043, -950, "-950"
3853896.1889105415903, 39479784.493668347597, -950, "-950"
3853923.2819635090418, 39479732.786130659282, -950, "-950"
3853937.7636923082173, 39479705.337811619043, -950, "-950"
3853950.8183944742195, 39479681.078592970967, -950, "-950"
3853978.823290836066, 39479629.371055282652, -950, "-950"
3853988.8724615387619, 39479610.930883720517, -950, "-950"
3854007.3608106472529, 39479577.663517594337, -950, "-950"
3854036.1525149880908, 39479525.955979906023, -950, "-950"
3854039.9812307697721, 39479519.124437697232, -950, "-950"
3854065.6198371225037, 39479474.248442217708, -950, "-950"
3854091.0900000003166, 39479429.635475710034, -950, "-950"
3854091.0900000003166, 39482535.317539036274, -900, "-900"
3854080.4074749988504, 39482524.993165835738, -900, "-900"
3854039.9812307697721, 39482484.719864651561, -900, "-900"
3854028.558044007048, 39482473.285628147423, -900, "-900"
3853988.8724615387619, 39482432.096008569002, -900, "-900"
3853978.873869845178, 39482421.578090459108, -900, "-900"
3853937.7636923082173, 39482376.510231763124, -900, "-900"
3853931.842087474186, 39482369.870552770793, -900, "-900"
3853887.7461605551653, 39482318.163015082479, -900, "-900"
3853886.6549230772071, 39482316.827762492001, -900, "-900"
3853846.8550806739368, 39482266.455477394164, -900, "-900"
3853835.5461538466625, 39482251.511440731585, -900, "-900"
3853808.8198468717746, 39482214.747939705849, -900, "-900"
3853784.4373846156523, 39482179.804522015154, -900, "-900"
3853773.2522996999323, 39482163.040402017534, -900, "-900"
3853739.9629185753874, 39482111.332864329219, -900, "-900"
3853733.3286153851077, 39482100.712621614337, -900, "-900"
3853708.8320216713473, 39482059.625326640904, -900, "-900"
3853682.2198461540975, 39482013.819443948567, -900, "-900"
3853678.9507391625084, 39482007.917788952589, -900, "-900"
3853650.8248772677034, 39481956.210251264274, -900, "-900"
3853631.1110769235529, 39481919.442798525095, -900, "-900"
3853623.4642084594816, 39481904.502713575959, -900, "-900"
3853597.2261142772622, 39481852.795175887644, -900, "-900"
3853580.0023076925427, 39481818.720769323409, -900, "-900"
3853571.4806740102358, 39481801.087638199329, -900, "-900"
3853546.4820143007673, 39481749.380100511014, -900, "-900"
3853528.8935384619981, 39481713.213376171887, -900, "-900"
3853521.6564372237772, 39481697.6725628227, -900, "-900"
3853497.376326481346, 39481645.965025134385, -900, "-900"
3853477.7847692309879, 39481604.889065526426, -900, "-900"
3853472.9213924719952, 39481594.25748744607, -900, "-900"
3853448.9166825916618, 39481542.549949757755, -900, "-900"
3853426.6760000004433, 39481495.852224119008, -900, "-900"
3853424.3836387172341, 39481490.84241206944, -900, "-900"
3853400.2572751450352, 39481439.134874381125, -900, "-900"
3853375.5672307694331, 39481388.063716083765, -900, "-900"
3853375.2710378365591, 39481387.42733669281, -900, "-900"
3853350.6525961691514, 39481335.719799004495, -900, "-900"
3853324.925540744327, 39481284.01226131618, -900, "-900"
3853324.4584615388885, 39481283.09429397434, -900, "-900"
3853299.4341487535276, 39481232.304723627865, -900, "-900"
3853273.3496923078783, 39481181.967777095735, -900, "-900"
3853272.661373663228, 39481180.59718593955, -900, "-900"
3853246.0135982376523, 39481128.889648251235, -900, "-900"
3853222.2409230773337, 39481085.091693371534, -900, "-900"
3853218.0556479478255, 39481077.182110562921, -900, "-900"
3853189.9478572476655, 39481025.474572874606, -900, "-900"
3853171.1321538463235, 39480992.269065387547, -900, "-900"
3853160.8140780217946, 39480973.767035186291, -900, "-900"
3853131.2169678402133, 39480922.059497497976, -900, "-900"
3853120.0233846157789, 39480902.638485267758, -900, "-900"
3853101.4191629104316, 39480870.351959809661, -900, "-900"
3853071.3729135501198, 39480818.644422121346, -900, "-900"
3853068.9146153847687, 39480814.020238325, -900, "-900"
3853043.3223506412469, 39480766.936884433031, -900, "-900"
3853018.3297449913807, 39480715.229346744716, -900, "-900"
3853017.8058461542241, 39480713.576712310314, -900, "-900"
3853001.6602692306042, 39480663.521809056401, -900, "-900"
3852997.0978764542378, 39480611.814271368086, -900, "-900"
3853004.8554073683918, 39480560.106733679771, -900, "-900"
3853017.8058461542241, 39480517.469163618982, -900, "-900"
