id,Y,X,altitude,name,top,bottom,xx,tt,zz
Z1,39488088.44,3853284.63,37.2,17煤,704.61,706.32,石炭系,上石炭统,太原组
Z1,39488088.44,3853284.63,37.2,21煤,753.58,755.23,石炭系,上石炭统,太原组
Z1,39488088.44,3853284.63,37.2,7煤,572.9,577.01,二叠系,下二叠统,山西组
Z1,39488088.44,3853284.63,37.2,9煤,602.75,606.63,二叠系,下二叠统,山西组
Z1,39488088.44,3853284.63,37.2,煤,618.65,760.72,二叠系,下二叠统,山西组
Z10,39486154.47,3852091.75,37.34,13下煤,268.3,268.62,石炭系,上石炭统,太原组
Z10,39486154.47,3852091.75,37.34,14煤,274.1,274.52,石炭系,上石炭统,太原组
Z10,39486154.47,3852091.75,37.34,15煤,277.11,277.89,石炭系,上石炭统,太原组
Z10,39486154.47,3852091.75,37.34,17煤,285.06,285.45,石炭系,上石炭统,太原组
Z10,39486154.47,3852091.75,37.34,18煤,288.62,289.03,石炭系,上石炭统,太原组
Z10,39486154.47,3852091.75,37.34,21煤,349.84,350.95,石炭系,上石炭统,太原组
Z10,39486154.47,3852091.75,37.34,22煤,357.45,357.85,石炭系,上石炭统,太原组
Z11,39485684.43,3851868.33,36.88,21煤,292.15,293.77,石炭系,上石炭统,太原组
Z11,39485684.43,3851868.33,36.88,22煤,297.95,298.53,石炭系,上石炭统,太原组
Z12,39485594.02,3852217.16,36.6,17煤,424.5,426.43,二叠系,下二叠统,山西组
Z12,39485594.02,3852217.16,36.6,18煤,427.7,428.15,二叠系,下二叠统,山西组
Z12,39485594.02,3852217.16,36.6,21煤,489.91,491.19,二叠系,下二叠统,山西组
Z12,39485594.02,3852217.16,36.6,22煤,495.33,495.8,二叠系,下二叠统,山西组
Z12,39485594.02,3852217.16,36.6,7煤,276.24,279.42,二叠系,下二叠统,山西组
Z12,39485594.02,3852217.16,36.6,煤,315.59,451.2,二叠系,下二叠统,山西组
Z13,39480564.63,3851919.48,38.98,7煤,515.05,516.38,二叠系,下二叠统,山西组
Z13,39480564.63,3851919.48,38.98,9煤,554.99,557.39,二叠系,下二叠统,山西组
Z13,39480564.63,3851919.48,38.98,煤,575.36,575.64,二叠系,下二叠统,山西组
Z14,39485524.95,3852578.63,37.31,21煤,627.18,628.35,石炭系,上石炭统,太原组
Z14,39485524.95,3852578.63,37.31,22煤,632.4,632.67,石炭系,上石炭统,太原组
Z14,39485524.95,3852578.63,37.31,7煤,430.15,432.42,二叠系,下二叠统,山西组
Z14,39485524.95,3852578.63,37.31,8煤,461.68,465.78,二叠系,下二叠统,山西组
Z14,39485524.95,3852578.63,37.31,煤,485.5,557.57,石炭系,上石炭统,太原组
Z15,39485160.93,3851915.71,36.73,13煤,302.0,302.3,石炭系,上石炭统,太原组
Z15,39485160.93,3851915.71,36.73,14煤,306.1,306.55,石炭系,上石炭统,太原组
Z15,39485160.93,3851915.71,36.73,15煤,308.9,309.25,石炭系,上石炭统,太原组
Z15,39485160.93,3851915.71,36.73,18煤,320.34,320.77,石炭系,上石炭统,太原组
Z15,39485160.93,3851915.71,36.73,21煤,374.15,375.9,石炭系,上石炭统,太原组
Z15,39485160.93,3851915.71,36.73,22煤,378.82,379.35,石炭系,上石炭统,太原组
Z15,39485160.93,3851915.71,36.73,煤,250.55,317.81,石炭系,上石炭统,太原组
